Date,Symbol,Time,Open,High,Low,Close,Volume,Datetime
1/13/2021,GME,10:30 AM,20.42,29.1,20.03,29.0054,18228267,1/13/2021:10:30 AM
1/13/2021,GME,11:30 AM,29.01,33.45,26.63,33.07,25355470,1/13/2021:11:30 AM
1/13/2021,GME,12:30 PM,33.07,38.65,30.39,31.01,43919590,1/13/2021:12:30 PM
1/13/2021,GME,1:30 PM,30.9462,34.93,30.1,31.8872,21139470,1/13/2021:1:30 PM
1/13/2021,GME,2:30 PM,31.88,34.38,31.555,32.8399,10491436,1/13/2021:2:30 PM
1/13/2021,GME,3:30 PM,32.8,34.15,31.1,31.31,9508760,1/13/2021:3:30 PM
1/13/2021,GME,4:00 PM,31.3135,32.3299,30.7,31.44,5665019,1/13/2021:4:00 PM
1/14/2021,GME,10:30 AM,38.09,38.55,33.05,34.305,19640662,1/14/2021:10:30 AM
1/14/2021,GME,11:30 AM,34.305,36.49,33.56,35.26,9033965,1/14/2021:11:30 AM
1/14/2021,GME,12:30 PM,35.26,43.06,35.19,41.02,17671109,1/14/2021:12:30 PM
1/14/2021,GME,1:30 PM,41.0719,42,37.6901,40.25,14301582,1/14/2021:1:30 PM
1/14/2021,GME,2:30 PM,40.23,41.5,38.21,38.48,7954802,1/14/2021:2:30 PM
1/14/2021,GME,3:30 PM,38.4624,40.41,37.6,38.0191,7518203,1/14/2021:3:30 PM
1/14/2021,GME,4:00 PM,38.02,40.03,37.85,39.9184,5298134,1/14/2021:4:00 PM
1/15/2021,GME,10:30 AM,38.49,40.75,35.17,36.15,12739725,1/15/2021:10:30 AM
1/15/2021,GME,11:30 AM,36.14,38.38,35.84,36.53,5199055,1/15/2021:11:30 AM
1/15/2021,GME,12:30 PM,36.52,37.01,34.01,35.0814,6374601,1/15/2021:12:30 PM
1/15/2021,GME,1:30 PM,35.14,36.67,35.1001,35.602,3199034,1/15/2021:1:30 PM
1/15/2021,GME,2:30 PM,35.6199,36.72,35.3826,36.7,2466486,1/15/2021:2:30 PM
1/15/2021,GME,3:30 PM,36.6939,38.49,36.4,36.711,7156861,1/15/2021:3:30 PM
1/15/2021,GME,4:00 PM,36.72,36.77,35.33,35.49,2874740,1/15/2021:4:00 PM
1/19/2021,GME,10:30 AM,41.55,45.52,36.64,37.61,29722462,1/19/2021:10:30 AM
1/19/2021,GME,11:30 AM,37.6537,39.48,36.75,38.4801,10205971,1/19/2021:11:30 AM
1/19/2021,GME,12:30 PM,38.4874,41.67,38,40.985,8510141,1/19/2021:12:30 PM
1/19/2021,GME,1:30 PM,40.9752,42.3,40.29,40.97,6927161,1/19/2021:1:30 PM
1/19/2021,GME,2:30 PM,40.97,41.34,39.66,39.89,3404532,1/19/2021:2:30 PM
1/19/2021,GME,3:30 PM,39.9,40.68,39.6,39.88,3019318,1/19/2021:3:30 PM
1/19/2021,GME,4:00 PM,39.86,39.99,38.61,39.51,3391188,1/19/2021:4:00 PM
1/20/2021,GME,10:30 AM,37.37,39.3933,36.63,36.71,6321027,1/20/2021:10:30 AM
1/20/2021,GME,11:30 AM,36.693,38.95,36.06,38.7793,7233552,1/20/2021:11:30 AM
1/20/2021,GME,12:30 PM,38.76,41.1899,38.3,38.6268,7573278,1/20/2021:12:30 PM
1/20/2021,GME,1:30 PM,38.6,38.8,37.85,38.5768,2354585,1/20/2021:1:30 PM
1/20/2021,GME,2:30 PM,38.5367,39.75,38.5,39.13,2427089,1/20/2021:2:30 PM
1/20/2021,GME,3:30 PM,39.1357,40.14,38.83,39.0401,2299896,1/20/2021:3:30 PM
1/20/2021,GME,4:00 PM,39.055,39.38,38.71,39.12,1273830,1/20/2021:4:00 PM
1/21/2021,GME,10:30 AM,39.23,39.79,37.52,38.8,4078064,1/21/2021:10:30 AM
1/21/2021,GME,11:30 AM,38.8038,40.95,38.8,40.3,5525844,1/21/2021:11:30 AM
1/21/2021,GME,12:30 PM,40.2259,44.75,37,38.98,17988143,1/21/2021:12:30 PM
1/21/2021,GME,1:30 PM,39.0711,41.9,38.8,41.4118,7421343,1/21/2021:1:30 PM
1/21/2021,GME,2:30 PM,41.3582,42.59,40.82,41.9997,5309920,1/21/2021:2:30 PM
1/21/2021,GME,3:30 PM,42.0205,42.75,40.02,42.6121,6570459,1/21/2021:3:30 PM
1/21/2021,GME,4:00 PM,42.66,43.19,41.76,43.02,4480928,1/21/2021:4:00 PM
1/22/2021,GME,10:30 AM,42.59,46.35,42.32,45.59,11398183,1/22/2021:10:30 AM
1/22/2021,GME,11:30 AM,45.5,49.62,44.84,48.605,14572887,1/22/2021:11:30 AM
1/22/2021,GME,12:30 PM,48.56,61.5,48.42,61.4805,34948092,1/22/2021:12:30 PM
1/22/2021,GME,1:30 PM,61.4907,76.7573,55.22,59.14,53542936,1/22/2021:1:30 PM
1/22/2021,GME,2:30 PM,59.2252,64.2,54.46,59.575,23474103,1/22/2021:2:30 PM
1/22/2021,GME,3:30 PM,59.5938,62.3499,57.2,61.15,16653614,1/22/2021:3:30 PM
1/22/2021,GME,4:00 PM,61.139,68,59.43,64.85,16735389,1/22/2021:4:00 PM
1/25/2021,GME,10:30 AM,96.73,120,85,119.99,32162604,1/25/2021:10:30 AM
1/25/2021,GME,11:30 AM,119.96,159.18,85.39,94.78,31322409,1/25/2021:11:30 AM
1/25/2021,GME,12:30 PM,96,107.31,61.13,72.71,16787206,1/25/2021:12:30 PM
1/25/2021,GME,1:30 PM,76.34,85.8,65.37,69.3199,17115360,1/25/2021:1:30 PM
1/25/2021,GME,2:30 PM,68.98,86.54,67.9,82.2,16636968,1/25/2021:2:30 PM
1/25/2021,GME,3:30 PM,82.1201,84.4999,71.1001,78.99,12792111,1/25/2021:3:30 PM
1/25/2021,GME,4:00 PM,78.99,81.25,75.51,76.765,6187055,1/25/2021:4:00 PM
1/26/2021,GME,10:30 AM,88.56,101.62,81.11,82.6,17745003,1/26/2021:10:30 AM
1/26/2021,GME,11:30 AM,82.3801,94,80.2,87.4299,11753753,1/26/2021:11:30 AM
1/26/2021,GME,12:30 PM,87.4199,93,85.54,92.523,5950717,1/26/2021:12:30 PM
1/26/2021,GME,1:30 PM,92.51,114.24,92.4301,112.01,25181800,1/26/2021:1:30 PM
1/26/2021,GME,2:30 PM,112.2334,125,106,122.19,26657567,1/26/2021:2:30 PM
1/26/2021,GME,3:30 PM,122.3699,149.25,117.2,148.39,31342491,1/26/2021:3:30 PM
1/26/2021,GME,4:00 PM,148.3118,150,132.31,145.965,11415637,1/26/2021:4:00 PM
1/27/2021,GME,10:30 AM,354.83,354.83,249,278.8485,10016224,1/27/2021:10:30 AM
1/27/2021,GME,11:30 AM,276.18,380,275,362.364,11617551,1/27/2021:11:30 AM
1/27/2021,GME,12:30 PM,363.53,380,280,303.1,6962643,1/27/2021:12:30 PM
1/27/2021,GME,1:30 PM,302.55,349.99,300,324,4576486,1/27/2021:1:30 PM
1/27/2021,GME,2:30 PM,323.01,345.33,290.01,302.7938,4320397,1/27/2021:2:30 PM
1/27/2021,GME,3:30 PM,301.2236,353,295,335.8247,5275517,1/27/2021:3:30 PM
1/27/2021,GME,4:00 PM,335.8247,351,320,345,2992459,1/27/2021:4:00 PM
1/28/2021,GME,10:30 AM,265,483,261.52,396.505,6214075,1/28/2021:10:30 AM
1/28/2021,GME,11:30 AM,397.86,403.9999,112.25,132,5292147,1/28/2021:11:30 AM
1/28/2021,GME,12:30 PM,141,324,135,278.7044,5914321,1/28/2021:12:30 PM
1/28/2021,GME,1:30 PM,276,285,205.4201,231.469,3142407,1/28/2021:1:30 PM
1/28/2021,GME,2:30 PM,230.3455,267,220.7901,229,2397560,1/28/2021:2:30 PM
1/28/2021,GME,3:30 PM,229.18,265,215,225.46,3269751,1/28/2021:3:30 PM
1/28/2021,GME,4:00 PM,225.0201,237.99,197.44,197.44,2066195,1/28/2021:4:00 PM
1/29/2021,GME,10:30 AM,379.71,413.98,291,315,5412629,1/29/2021:10:30 AM
1/29/2021,GME,11:30 AM,315,347,303.0398,335.8863,2737399,1/29/2021:11:30 AM
1/29/2021,GME,12:30 PM,335.1109,377,312.04,349,2940448,1/29/2021:12:30 PM
1/29/2021,GME,1:30 PM,348.1117,353.5999,312.44,318.8,1769618,1/29/2021:1:30 PM
1/29/2021,GME,2:30 PM,318.0145,318.8,252,255.494,3519241,1/29/2021:2:30 PM
1/29/2021,GME,3:30 PM,256.6191,327.21,250,305.3101,3807275,1/29/2021:3:30 PM
1/29/2021,GME,4:00 PM,305.31,335,291.25,328.24,2822496,1/29/2021:4:00 PM
2/1/2021,GME,10:30 AM,316.56,322,213.07,213.07,5910526,2/1/2021:10:30 AM
2/1/2021,GME,11:30 AM,213.07,275,212,273.85,3880885,2/1/2021:11:30 AM
2/1/2021,GME,12:30 PM,273.54,280,241.21,251.9999,1872566,2/1/2021:12:30 PM
2/1/2021,GME,1:30 PM,252,260.63,231,239.49,1147165,2/1/2021:1:30 PM
2/1/2021,GME,2:30 PM,239.69,253.8899,230,244.59,1621452,2/1/2021:2:30 PM
2/1/2021,GME,3:30 PM,245,247.6799,227.5001,233.97,1387132,2/1/2021:3:30 PM
2/1/2021,GME,4:00 PM,234,234.89,214.66,227,1667482,2/1/2021:4:00 PM
2/2/2021,GME,10:30 AM,140.76,158,101.3,104.6499,11359954,2/2/2021:10:30 AM
2/2/2021,GME,11:30 AM,104.17,137.06,74.2201,137.06,16722401,2/2/2021:11:30 AM
2/2/2021,GME,12:30 PM,142.99,154.3999,105.17,115.51,8077871,2/2/2021:12:30 PM
2/2/2021,GME,1:30 PM,115.5981,124.99,105.5,113.0001,3029312,2/2/2021:1:30 PM
2/2/2021,GME,2:30 PM,113,113.85,96.7,98.01,3099213,2/2/2021:2:30 PM
2/2/2021,GME,3:30 PM,97.9,105.98,91,95,3439956,2/2/2021:3:30 PM
2/2/2021,GME,4:00 PM,94.8143,98.5,88,90.47,2363540,2/2/2021:4:00 PM
2/3/2021,GME,10:30 AM,112.01,113.3999,85.25,90.3002,7810042,2/3/2021:10:30 AM
2/3/2021,GME,11:30 AM,90.5999,104.35,89.0142,93.92,4574843,2/3/2021:11:30 AM
2/3/2021,GME,12:30 PM,94.06,100,90.5,98.1167,2425239,2/3/2021:12:30 PM
2/3/2021,GME,1:30 PM,98.1299,106,95.1,101.4548,3483715,2/3/2021:1:30 PM
2/3/2021,GME,2:30 PM,101.1278,109.5983,97.46,102.8949,3654802,2/3/2021:2:30 PM
2/3/2021,GME,3:30 PM,102.9599,104.75,91.5701,92.45,2842252,2/3/2021:3:30 PM
2/3/2021,GME,4:00 PM,92.45,95.8,90.59,92.0431,1334815,2/3/2021:4:00 PM
2/4/2021,GME,10:30 AM,91.19,91.5,73.88,74.81,6940498,2/4/2021:10:30 AM
2/4/2021,GME,11:30 AM,74.6624,79.7099,63.2,63.51,9900062,2/4/2021:11:30 AM
2/4/2021,GME,12:30 PM,63.5,71.3,62.05,68.57,8544043,2/4/2021:12:30 PM
2/4/2021,GME,1:30 PM,68.7618,69.2499,57.2,59.43,6826797,2/4/2021:1:30 PM
2/4/2021,GME,2:30 PM,59.6395,61.55,58,59.375,4185431,2/4/2021:2:30 PM
2/4/2021,GME,3:30 PM,59.3001,61.98,55.35,57.3,4691118,2/4/2021:3:30 PM
2/4/2021,GME,4:00 PM,57.5299,57.95,53.33,53.378,3426508,2/4/2021:4:00 PM
2/5/2021,GME,10:30 AM,54.04,95,51.09,70.8985,27149701,2/5/2021:10:30 AM
2/5/2021,GME,11:30 AM,70.9,76.7999,67.12,69.34,9654553,2/5/2021:11:30 AM
2/5/2021,GME,12:30 PM,69.6999,69.6999,58.86,65.88,7903239,2/5/2021:12:30 PM
2/5/2021,GME,1:30 PM,65.663,65.8799,62.16,62.5199,3042798,2/5/2021:1:30 PM
2/5/2021,GME,2:30 PM,62.385,62.69,57.26,60.67,4503291,2/5/2021:2:30 PM
2/5/2021,GME,3:30 PM,60.564,63,59,60.7,3030095,2/5/2021:3:30 PM
2/5/2021,GME,4:00 PM,60.775,66.47,60.7,63.7601,3531254,2/5/2021:4:00 PM
2/8/2021,GME,10:30 AM,72.41,72.66,58.27,61.1699,7627103,2/8/2021:10:30 AM
2/8/2021,GME,11:30 AM,61.0329,63.5,59.26,60,2558346,2/8/2021:11:30 AM
2/8/2021,GME,12:30 PM,60.0786,60.3099,58.02,58.9452,1771689,2/8/2021:12:30 PM
2/8/2021,GME,1:30 PM,59.1137,62.35,58.7301,59.6561,2027697,2/8/2021:1:30 PM
2/8/2021,GME,2:30 PM,59.8,60.38,58.3,59.203,1155925,2/8/2021:2:30 PM
2/8/2021,GME,3:30 PM,59.0875,59.49,58.6,58.73,1121492,2/8/2021:3:30 PM
2/8/2021,GME,4:00 PM,58.7,60.5,58.22,59.9599,1230213,2/8/2021:4:00 PM
2/9/2021,GME,10:30 AM,56.61,57,50.31,50.665,5227803,2/9/2021:10:30 AM
2/9/2021,GME,11:30 AM,50.6699,51.43,46.52,48.57,5635881,2/9/2021:11:30 AM
2/9/2021,GME,12:30 PM,48.507,50.755,47.2,50.07,3200891,2/9/2021:12:30 PM
